filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_14_ch_330_strand.fast5	c73139f0-5827-439d-997a-eb5fac5a8ae8	85331a9859f4761d810f4a1e7b497e769c1e262c	0	330	1	35.529216	11.196215	3372	TRUE	37.525232	2771	9.200199	736	9.409097	0.000000	89.343239	10.829483	89.343239	10.829483
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_16_ch_219_strand.fast5	e5f8731a-84ca-4358-bf80-1995431f896a	85331a9859f4761d810f4a1e7b497e769c1e262c	0	219	4	17.494024	9.901726	2982	TRUE	17.626826	2942	9.768924	386	9.124242	0.000000	98.605293	16.386719	98.605293	16.386719
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_17_ch_465_strand.fast5	5827533a-2cce-4a40-bb78-3c2917103442	85331a9859f4761d810f4a1e7b497e769c1e262c	0	465	4	33.392762	12.798141	3854	TRUE	33.392762	3854	12.798141	338	8.188178	0.000000	82.931046	11.399456	82.931046	11.399456
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_14_ch_489_strand.fast5	fc4ffca8-cf30-4d69-a2c8-70942a9086a1	85331a9859f4761d810f4a1e7b497e769c1e262c	0	489	1	27.261952	12.159363	3662	TRUE	27.395086	3622	12.026228	510	9.746580	0.000000	88.773262	16.529211	88.773262	16.529211
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_21_ch_153_strand.fast5	018ee7d2-21b0-487d-b814-0b5e0bcdff03	85331a9859f4761d810f4a1e7b497e769c1e262c	0	153	3	64.379814	6.526228	1965	TRUE	64.694223	1871	6.211819	333	9.760449	0.000000	94.045517	17.384171	94.045517	17.384171
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_16_ch_230_strand.fast5	bf91fdf1-d598-4a0c-9b3f-c155bea2077d	85331a9859f4761d810f4a1e7b497e769c1e262c	0	230	3	49.866202	14.498672	4367	TRUE	52.943891	3440	11.420983	873	11.956268	0.000000	98.320312	13.964334	98.320312	13.964334
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_234_strand.fast5	30856856-092c-408f-ac24-5a92d783d60f	85331a9859f4761d810f4a1e7b497e769c1e262c	0	234	1	47.904050	8.738380	2632	TRUE	51.396082	1580	5.246348	276	11.478090	0.000000	99.887733	12.254416	99.887733	12.254416
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_14_ch_269_strand.fast5	c6f713fc-80be-473f-bfcd-36b001e67ddf	85331a9859f4761d810f4a1e7b497e769c1e262c	0	269	1	29.781873	6.688911	2014	FALSE	29.781873	2014	6.688911	164	6.110233	0.000000	81.791100	13.536855	81.791100	13.536855
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_16_ch_32_strand.fast5	6995daaa-2ca6-4843-9b91-2d8c0f97b542	85331a9859f4761d810f4a1e7b497e769c1e262c	0	32	1	34.099602	8.852922	2666	TRUE	34.232404	2626	8.720120	340	8.510400	0.000000	99.317764	13.394361	99.317764	13.394361
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_20_ch_169_strand.fast5	8c0cd675-8f73-4be5-bc25-771e9457832b	85331a9859f4761d810f4a1e7b497e769c1e262c	0	169	1	50.135458	9.845950	2965	TRUE	54.382138	1686	5.599270	381	11.698045	0.000000	103.877548	12.396909	103.877548	12.396909
